company,website,city,state,bucket,band,priority,batch,rank,verification,scope,model,size,li_headcount,founded_inven,ownership_inven,dq_gate,verdict_reason,founded_verified,owner_verified,ownership_verified,confidence,source_list,inven_id,list_stage_note
T.B Power Creation,http://tbpowercreation.com,Coral Springs,Florida,T3,1 Core,Nurture,Nurture (below floor),,Verified,Strong,Mixed,Weak,6.0,2021.0,Private,,"lowered from P3 to Nurture - a 2018 entity with 6-8 people sits below the size floor, but the utility underground and storm-restoration scope is in the core band, so it is logged as a future add-on rather than a platform","2018 - Florida LLC 'TB POWER CREATION LLC' (document L18000252031) registered '26th October 2018', status ACTIVE with a REINSTATEMENT. 8 years old, under the 10-year preference. Supplied list said 2021; the state record is earlier and wins.","Terrell Bridges - CEO & President (own site team page); the Florida entity record lists 'BRIDGES, TERRELL V' as CEO. Nicole Bridges - Vice President (own site). Founder-run, husband-and-wife pattern.","independent private, family owned (Terrell and Nicole Bridges)",Medium,ElecInfra,35007398.0,"""Storm restoration and underground electric installations"" fits, but founded 2021 with 6 heads: under the age bar and below floor."
APEX Controls,http://solutionsbyapex.com,Hudsonville,,T4,1 Core,DQ,DQ (do not contact),,Verified,Strong,Mixed,Strong,85.0,1991.0,Private,,"lowered (was P2) — process-automation system integrator and UL panel builder for food/beverage and automotive plants, not electrical infrastructure services: Weak on scope (none of the thesis assets appear on their site) AND Weak on model (",1991,"[unknown] — no owner/president named on their site; only Brian VanEyk, Director of Business Development, quoted in https://www.michiganbusiness.org/reports-data/success-stories/apex-controls/ (""We were started by engineers and we're very te","independent private (INFERRED: no parent, affiliates page or sponsor found on solutionsbyapex.com and none surfaced in search; no ownership statement published on their own site)",High,S1/S2 (new 14 Aug),40693035.0,"85 employees since 1991; 'automation solutions, control systems, electrical services, and panel building' sold direct to food-and-beverage and automotive plants"
UniPower LLC,http://unipowerllc.com,Bethlehem,,T6,1 Core,Nurture,Nurture (below floor),,Verified,Mixed,Strong,Mixed,19.0,1999.0,Family Owned,,"lowered (was P2) — the model is close to ideal (PM plus 24/7/365 dispatch, remote monitoring, blue-chip repeat accounts, family-run, 28 years, no negatives at all) but the only available size read puts the business below the $2M EBITDA floo",1998 (LLC formally established 16 December 1999),"Jennifer McDevitt, President; Matt McDevitt, VP Operations; Brian Miskinis, Director of Operations; Jimmy Rivera, Service Technical Manager (https://unipowerllc.com/about-unipower/)","family owned, independent — ""Family-Run Business"" and ""Woman & Minority Owned"", WBENC certified (https://unipowerllc.com/)",Medium,S1/S2 (new 14 Aug),696959.0,"""Critical power solutions"": UPS, emergency lighting, ""preventative maintenance and emergency services""; family owned since 1999; 19 employees sits at the size f"
Premier Automation LLC,http://premierautomation.com,Monroeville,,T4,1 Core,DQ,DQ (do not contact),,Verified,Mixed,Mixed,Strong,127.0,2001.0,Private,,"lowered from P2 — the equipment-manufacturer exclusion gate fires. Panel and custom switchgear manufacturing is not a sideline here: it is a core line with its own e-commerce brand (PanelShop.com), and the power/distribution page describes ","2002 — from their own history page: ""Premier Automation was founded in 2002 by a group of engineers in Pittsburgh"" (https://premierautomation.com/our-story/our-history/). The site REFINES the supplied founded_inven value of 2001: 2001 is th","Mike Gunniers and Walt Dollard — ""Mike Gunniers and Walt Dollard"" purchased the predecessor company in December 2001 (https://premierautomation.com/our-story/our-history/). Owner-operators of 24 years' tenure; no hired-CEO or sponsor struct","independent private, founder/owner-operated — no PE, parent or portfolio language found. Note they are an ACQUIRER, not a target: ""In 2015 Premier Automation acquired Industrial Automation and Control, Inc., a leading Automation Systems Int",Medium,S1/S2 (new 14 Aug),324120.0,"127 employees since 2001; 'system integration, repair, and field services' plus 'electrical control systems' for manufacturing plants - repair and field service"
Mundial Group Inc.,http://mundial-group.com,Longview,,T1,1 Core,DQ,DQ (do not contact),,Verified,Mixed,Mixed,Mixed,24.0,2010.0,Family Owned,,"lowered from P2 — reading their own site resolved the list screen's central question ('whether work touches MV electrical apparatus or only process instrumentation') decisively in the WRONG direction: it is instrumentation only, with no ele","2010 — CONFIRMED from their own about page: ""Founded in 2010"" (https://mundial-group.com/about/). This CONFIRMS the supplied founded_inven value of 2010. 16 years, clears the 10+ preference. Separately note the homepage claim of ""70+ Years ","Donaciana ""Nita"" Rudd, Owner / President; Ricky Rudd, Vice President; Monty Rudd, Project Manager (https://mundial-group.com/about/) — a family leadership team","family owned, independent, minority-owned — ""Minority Owned & Operated"" and ""a family-owned and operated enterprise comprising over 70 years of combined expertise across three generations"" (https://mundial-group.com/about/). Also registered",Medium,S1/S2 (new 14 Aug),22097488.0,"'Instrument calibration and commissioning' delivered on-site 'minimizing downtime' for manufacturing plants; 24 employees, family owned, founded 2010."
PVI CM Inc,http://pvicm.com,West Chester,,T6,1 Core,DQ,DQ (do not contact),,Verified,Mixed,Mixed,Strong,20.0,,Private,,lowered — the recently-acquired gate fires: PitchBook records PVI CM as Acquired/Merged with an acquisition date of 29-Sep-2023 and 'Corporate Backed or Acquired' financing status; size would also read below the floor on the headcount heuri,1989 per PitchBook ('Year Founded - 1989') — could NOT be confirmed from the company's own materials,[unknown],"acquired — PitchBook records 'Status - Acquired/Merged', 'PVI CM was acquired on 29-Sep-2023' and 'Financing Status - Corporate Backed or Acquired' (https://pitchbook.com/profiles/company/450550-27). The acquirer is not named in the free pr",Medium,FromPete,36080375.0,"'Electrical and maintenance services for critical systems', AC/DC power and monitoring, integrated with Fortune 50 telecom and technology clients; 20 employees."
"Scott Pole Line, LLC",http://scottpoleline.com,Stephenville,Texas,T3,1 Core,Nurture,Nurture (below floor),,Verified,Strong,Mixed,Weak,15.0,2008.0,Family Owned,,"lowered from P2 — the MODEL is right (municipalities, IOUs and REAs contracted directly, 24/7 storm restoration, oil-field line maintenance) but the company appears to sit BELOW the size floor. Per the rules that is Nurture, not DQ. Logged ",[unknown] — NOT stated anywhere on their own site; neither the homepage nor the about page carries a founding year or 'since' language (https://www.scottpoleline.com/about). The supplied founded_inven value of 2008 could NOT be confirmed fr,"Jeff Scott and Michael Scott — named as the company contacts on the about page, which describes the business as ""family owned and operated"" (https://www.scottpoleline.com/about). Daniel Gore is listed as the emergency contact on the homepag","family owned, independent — ""family owned and operated"" (https://www.scottpoleline.com/about), with two family principals named. No PE, parent or acquisition language.",Medium,ElecInfra,2752920.0,"""Distribution line construction, maintenance, and emergency restoration"" direct to ""municipalities, investor-owned utilities""; family owned since 2008; 15 Linke"
Ancona Controls,http://anconacontrols.com,Wixom,,T6,1 Core,Nurture,Nurture (below floor),,Verified,Mixed,Mixed,Mixed,27.0,1996.0,Family Owned,,"lowered — the model is exactly the one Hunter wants (service plans, 7x24 dispatch, guaranteed 4-hour response, preventive maintenance packages), but this is a secondary-band generator/UPS/DC service shop of roughly 27 people, credibly below","January 1998 (CONFIRMED from own site). NOTE: this CONTRADICTS the supplied founded_inven of 1996 — the company's own site wins, so 1998, making it 28 years old.","Beth Ancona, founder (28 years' tenure); Albert Ancona, her spouse, also an electrical engineer — family owned (https://anconacontrols.com/about-us/)","family owned, independent — founded and still identified with Beth and Albert Ancona; no parent, investor or family-of-companies language on the site",Medium,S1/S2 (new 14 Aug),967126.0,"""Backup power solutions and maintenance services"" - UPS, generators - for healthcare and telecommunications; family-owned since 1996, 27 LinkedIn heads."
Matco Electric Corporation,http://matcoelectric.com,Vestal,New York,T5,1 Core,DQ,DQ (do not contact),,Verified,Mixed,Mixed,Strong,40.0,1965.0,Private,,"LOWERED from P2 — DQ on the franchise gate, caught structurally on their own site with no acquisition press behind it. HONEST NUANCE, recorded so the name is never re-screened cold: Matco itself appears to be an independently owned contract",[unknown] exact year — own site states the company 'has served the needs of its customers for over 50 years' (https://www.matcoelectric.com/about/principal-staff/) and the homepage claims over 50 years of experience. Inven's 1965 is consist,"Mark Freije, Chief Executive Officer & President; Santo Caracciolo, Chief Financial Officer & Treasurer. Ryan Freije also appears as a Project Manager, so the Freije surname repeats across generations. Ownership itself is not stated on the ","independent private (no parent found) BUT the company operates a TEGG® FRANCHISE BUSINESS UNIT — see model_negatives. No PE, sponsor or parent company was found.",High,ElecInfra + FromPete,27999.0,"""Electrical preventive maintenance"" named alongside ""construction management, lighting""; private, founded 1965, 40 LinkedIn employees."
Dane Electric,http://daneelectric.com,Oklahoma City,,T5,1 Core,DQ,DQ (do not contact),,Verified,Mixed,Mixed,Strong,41.0,,Private,,"lowered from P2 — the 'recently acquired' exclusion gate fires on the company's own about page, which announces new ownership in 2024. A business bought roughly two years ago by an incoming finance-executive owner is not a succession opport","1976 — CONFIRMED from their own site, ""Powering Oklahoma Since 1976"" (https://daneelectric.com), with the press release giving the precise date of July 14, 1976 and the origin story: ""Founded by Bill Dane and later joined by partners includ","Josh Bentley, Owner/CEO/CFO — took ownership in 2024. ""Josh brings a wealth of experience with more than 20 years in Finance & Accounting and over a decade working as a Financial Executive,"" with a bachelor's in Accounting and an MBA from U","ACQUIRED / new ownership as of 2024 — DISQUALIFYING. The company's own about page states it plainly: ""2024 welcomes new ownership at Dane Electric. Join us in welcoming Josh Bentley as the new owner and Kevin Ryel as the new President of Da",High,FromPete,12520904.0,"Commercial and industrial electrical plus telecommunication solutions, '24/7 support for urgent needs', established 1976; 41 employees, private."
